"epoch","UNet_w32_lr1e-3 - val_nrmse","UNet_w32_lr1e-3 - val_nrmse__MIN","UNet_w32_lr1e-3 - val_nrmse__MAX","UNet_w32_lr1e-3 - _step","UNet_w32_lr1e-3 - _step__MIN","UNet_w32_lr1e-3 - _step__MAX","UNet_w32_lr5e-4 - val_nrmse","UNet_w32_lr5e-4 - val_nrmse__MIN","UNet_w32_lr5e-4 - val_nrmse__MAX","UNet_w32_lr5e-4 - _step","UNet_w32_lr5e-4 - _step__MIN","UNet_w32_lr5e-4 - _step__MAX","UNet_w64_lr5e-4 - val_nrmse","UNet_w64_lr5e-4 - val_nrmse__MIN","UNet_w64_lr5e-4 - val_nrmse__MAX","UNet_w64_lr5e-4 - _step","UNet_w64_lr5e-4 - _step__MIN","UNet_w64_lr5e-4 - _step__MAX","UNet_w64_lr1e-3 - val_nrmse","UNet_w64_lr1e-3 - val_nrmse__MIN","UNet_w64_lr1e-3 - val_nrmse__MAX","UNet_w64_lr1e-3 - _step","UNet_w64_lr1e-3 - _step__MIN","UNet_w64_lr1e-3 - _step__MAX","FNO_w32_m12_lr5e-4 - val_nrmse","FNO_w32_m12_lr5e-4 - val_nrmse__MIN","FNO_w32_m12_lr5e-4 - val_nrmse__MAX","FNO_w32_m12_lr5e-4 - _step","FNO_w32_m12_lr5e-4 - _step__MIN","FNO_w32_m12_lr5e-4 - _step__MAX","FNO_w64_m12_lr1e-3 - val_nrmse","FNO_w64_m12_lr1e-3 - val_nrmse__MIN","FNO_w64_m12_lr1e-3 - val_nrmse__MAX","FNO_w64_m12_lr1e-3 - _step","FNO_w64_m12_lr1e-3 - _step__MIN","FNO_w64_m12_lr1e-3 - _step__MAX","FNO_w32_m20_lr5e-4 - val_nrmse","FNO_w32_m20_lr5e-4 - val_nrmse__MIN","FNO_w32_m20_lr5e-4 - val_nrmse__MAX","FNO_w32_m20_lr5e-4 - _step","FNO_w32_m20_lr5e-4 - _step__MIN","FNO_w32_m20_lr5e-4 - _step__MAX","FNO_w64_m20_lr1e-3 - val_nrmse","FNO_w64_m20_lr1e-3 - val_nrmse__MIN","FNO_w64_m20_lr1e-3 - val_nrmse__MAX","FNO_w64_m20_lr1e-3 - _step","FNO_w64_m20_lr1e-3 - _step__MIN","FNO_w64_m20_lr1e-3 - _step__MAX","FNO_w32_m20_lr1e-3 - val_nrmse","FNO_w32_m20_lr1e-3 - val_nrmse__MIN","FNO_w32_m20_lr1e-3 - val_nrmse__MAX","FNO_w32_m20_lr1e-3 - _step","FNO_w32_m20_lr1e-3 - _step__MIN","FNO_w32_m20_lr1e-3 - _step__MAX","FNO_w32_m12_lr1e-3 - val_nrmse","FNO_w32_m12_lr1e-3 - val_nrmse__MIN","FNO_w32_m12_lr1e-3 - val_nrmse__MAX","FNO_w32_m12_lr1e-3 - _step","FNO_w32_m12_lr1e-3 - _step__MIN","FNO_w32_m12_lr1e-3 - _step__MAX","FNO_w64_m12_lr5e-4 - val_nrmse","FNO_w64_m12_lr5e-4 - val_nrmse__MIN","FNO_w64_m12_lr5e-4 - val_nrmse__MAX","FNO_w64_m12_lr5e-4 - _step","FNO_w64_m12_lr5e-4 - _step__MIN","FNO_w64_m12_lr5e-4 - _step__MAX","FNO_w64_m20_lr5e-4 - val_nrmse","FNO_w64_m20_lr5e-4 - val_nrmse__MIN","FNO_w64_m20_lr5e-4 - val_nrmse__MAX","FNO_w64_m20_lr5e-4 - _step","FNO_w64_m20_lr5e-4 - _step__MIN","FNO_w64_m20_lr5e-4 - _step__MAX"
"0","0.016015296847633788","0.010885675637725672","0.021144918057541907","0","0","0","0.029412171711996657","0.026929526047015484","0.03189481737697783","0","0","0","0.01565085556872326","0.014799442073684528","0.016502269063761996","0","0","0","0.02621268112486674","0.021112505300827554","0.031312856948905926","0","0","0","0.018326378781691285","0.018326378781691285","0.018326378781691285","0","0","0","0.016735348136284234","0.016735348136284234","0.016735348136284234","0","0","0","0.006958338260604925","0.006958338260604925","0.006958338260604925","0","0","0","0.005115457576202469","0.005115457576202469","0.005115457576202469","0","0","0","0.006095567018227892","0.006095567018227892","0.006095567018227892","0","0","0","0.017570209986547385","0.017570209986547385","0.017570209986547385","0","0","0","0.018118657645957967","0.018118657645957967","0.018118657645957967","0","0","0","0.005152251231455547","0.005152251231455547","0.005152251231455547","0","0","0"
"1","0.013603812400708718","0.011472007951076411","0.015735616850341024","1","1","1","0.01603271479095601","0.015124014938718702","0.016941414643193316","1","1","1","0.013664501796310848","0.012863542844592794","0.014465460748028902","1","1","1","0.011166954644458608","0.010399486018241914","0.011934423270675303","1","1","1","0.017351292799358355","0.017351292799358355","0.017351292799358355","1","1","1","0.012748848498324675","0.012748848498324675","0.012748848498324675","1","1","1","0.005184175168089797","0.005184175168089797","0.005184175168089797","1","1","1","0.004501201118131174","0.004501201118131174","0.004501201118131174","1","1","1","0.004785519060421666","0.004785519060421666","0.004785519060421666","1","1","1","0.014261776667111125","0.014261776667111125","0.014261776667111125","1","1","1","0.016924656659044735","0.016924656659044735","0.016924656659044735","1","1","1","0.004515440001843805","0.004515440001843805","0.004515440001843805","1","1","1"
"2","0.0113133283194863","0.008798824280408993","0.013827832358563604","2","2","2","0.016597427704880027","0.016566881538580165","0.016627973871179886","2","2","2","0.01995931698317908","0.011943118223931891","0.02797551574242627","2","2","2","0.02669731999513196","0.016168966295163324","0.037225673695100596","2","2","2","0.015062466275198328","0.015062466275198328","0.015062466275198328","2","2","2","0.010528267298373709","0.010528267298373709","0.010528267298373709","2","2","2","0.004761688436947169","0.004761688436947169","0.004761688436947169","2","2","2","0.004288392588553344","0.004288392588553344","0.004288392588553344","2","2","2","0.00450571619425586","0.00450571619425586","0.00450571619425586","2","2","2","0.006623779963473418","0.006623779963473418","0.006623779963473418","2","2","2","0.012529422271928173","0.012529422271928173","0.012529422271928173","2","2","2","0.004338333246075302","0.004338333246075302","0.004338333246075302","2","2","2"
"3","0.015432895304052376","0.014484311522561714","0.01638147908554304","3","3","3","0.013383231542867385","0.009295656505766456","0.017470806579968315","3","3","3","0.011107874551410872","0.010719027501628077","0.011496721601193667","3","3","3","0.010991204158614383","0.01005370846943804","0.011928699847790727","3","3","3","0.012794071054257498","0.012794071054257498","0.012794071054257498","3","3","3","0.007134880804873866","0.007134880804873866","0.007134880804873866","3","3","3","0.004590697739376155","0.004590697739376155","0.004590697739376155","3","3","3","0.0041585983408535","0.0041585983408535","0.0041585983408535","3","3","3","0.004374704232290845","0.004374704232290845","0.004374704232290845","3","3","3","0.006079564270980519","0.006079564270980519","0.006079564270980519","3","3","3","0.0043530309061445525","0.0043530309061445525","0.0043530309061445525","3","3","3","0.004243911868189833","0.004243911868189833","0.004243911868189833","3","3","3"
"4","0.01430286294523558","0.01125333941558753","0.01735238647488363","4","4","4","0.009042868842056559","0.00786999699322541","0.010215740690887706","4","4","4","0.015388887872679467","0.010555733669480663","0.02022204207587827","4","4","4","0.020436452984512767","0.01500774514889973","0.025865160820125802","4","4","4","0.00936121196468915","0.00936121196468915","0.00936121196468915","4","4","4","0.0032025574695067538","0.0032025574695067538","0.0032025574695067538","4","4","4","0.004490657722394617","0.004490657722394617","0.004490657722394617","4","4","4","0.004066167320724737","0.004066167320724737","0.004066167320724737","4","4","4","0.004286176969291517","0.004286176969291517","0.004286176969291517","4","4","4","0.0013861159709756452","0.0013861159709756452","0.0013861159709756452","4","4","4","0.0020199918789514824","0.0020199918789514824","0.0020199918789514824","4","4","4","0.004172830512472914","0.004172830512472914","0.004172830512472914","4","4","4"
"5","0.006678108690146563","0.0064173869308701325","0.006938830449422993","5","5","5","0.01974853278177739","0.012016172806498098","0.02748089275705668","5","5","5","0.011964218213902844","0.011517694328505934","0.012410742099299753","5","5","5","0.028791336559810525","0.022457678122388806","0.03512499499723224","5","5","5","0.004486005220482228","0.004486005220482228","0.004486005220482228","5","5","5","0.0025457952620084484","0.0025457952620084484","0.0025457952620084484","5","5","5","0.0044175662340287785","0.0044175662340287785","0.0044175662340287785","5","5","5","0.004055398480646724","0.004055398480646724","0.004055398480646724","5","5","5","0.004213894593123735","0.004213894593123735","0.004213894593123735","5","5","5","0.0015579576509793295","0.0015579576509793295","0.0015579576509793295","5","5","5","0.001742641713635916","0.001742641713635916","0.001742641713635916","5","5","5","0.004107083571057744","0.004107083571057744","0.004107083571057744","5","5","5"
"6","0.013329530580460661","0.009672953398681126","0.016986107762240195","6","6","6","0.01401603917242742","0.008151103359607099","0.01988097498524774","6","6","6","0.011578823808306382","0.007612984147539899","0.015544663469072866","6","6","6","0.01820669967989706","0.014087586138008928","0.022325813221785187","6","6","6","0.0023219868329359345","0.0023219868329359345","0.0023219868329359345","6","6","6","0.0031593681364520195","0.0031593681364520195","0.0031593681364520195","6","6","6","0.004354623153497196","0.004354623153497196","0.004354623153497196","6","6","6","0.00407711475761893","0.00407711475761893","0.00407711475761893","6","6","6","0.004143850849312873","0.004143850849312873","0.004143850849312873","6","6","6","0.0034810952396572004","0.0034810952396572004","0.0034810952396572004","6","6","6","0.0012723430812621684","0.0012723430812621684","0.0012723430812621684","6","6","6","0.004060016487913629","0.004060016487913629","0.004060016487913629","6","6","6"
"7","0.014164500824101497","0.010489348424998528","0.017839653223204466","7","7","7","0.010228191248135517","0.008732531191152663","0.011723851305118368","7","7","7","0.014634229079963057","0.007618452913693489","0.021650005246232625","7","7","7","0.014703922805039245","0.011197403421842613","0.01821044218823588","7","7","7","0.0044616252623864115","0.0044616252623864115","0.0044616252623864115","7","7","7","0.0015111485434741788","0.0015111485434741788","0.0015111485434741788","7","7","7","0.004286553466441167","0.004286553466441167","0.004286553466441167","7","7","7","0.0038731460419534906","0.0038731460419534906","0.0038731460419534906","7","7","7","0.00408723949671843","0.00408723949671843","0.00408723949671843","7","7","7","0.0011712979576036196","0.0011712979576036196","0.0011712979576036196","7","7","7","0.0010134388719102586","0.0010134388719102586","0.0010134388719102586","7","7","7","0.0053006079779263655","0.0053006079779263655","0.0053006079779263655","7","7","7"
"8","0.010261434506042146","0.007327401384916957","0.013195467627167336","8","8","8","0.010374911365162102","0.00889344184025208","0.011856380890072123","8","8","8","0.011343607267627686","0.010666232013309294","0.01202098252194608","8","8","8","0.010842850260390825","0.006374570026856624","0.015311130493925027","8","8","8","0.0015073532925667299","0.0015073532925667299","0.0015073532925667299","8","8","8","0.0013429420990183766","0.0013429420990183766","0.0013429420990183766","8","8","8","0.0043877161342216415","0.0043877161342216415","0.0043877161342216415","8","8","8","0.003905436324035646","0.003905436324035646","0.003905436324035646","8","8","8","0.004069991205516129","0.004069991205516129","0.004069991205516129","8","8","8","0.0009205825187614405","0.0009205825187614405","0.0009205825187614405","8","8","8","0.0035770181223658696","0.0035770181223658696","0.0035770181223658696","8","8","8","0.003990906977774633","0.003990906977774633","0.003990906977774633","8","8","8"
"9","0.009822329738394477","0.0029509420138126687","0.016693717462976286","9","9","9","0.008458311440983067","0.008312072830583238","0.008604550051382897","9","9","9","0.02316270481960768","0.005606463238985443","0.04071894640022992","9","9","9","0.013304811762360159","0.009225418945443046","0.017384204579277272","9","9","9","0.001206265579254875","0.001206265579254875","0.001206265579254875","9","9","9","0.0008533077230219918","0.0008533077230219918","0.0008533077230219918","9","9","9","0.004152618955672245","0.004152618955672245","0.004152618955672245","9","9","9","0.005379449087623621","0.005379449087623621","0.005379449087623621","9","9","9","0.00411207042920169","0.00411207042920169","0.00411207042920169","9","9","9","0.0007835104672289653","0.0007835104672289653","0.0007835104672289653","9","9","9","0.0019589285523362136","0.0019589285523362136","0.0019589285523362136","9","9","9","0.0038480252381756994","0.0038480252381756994","0.0038480252381756994","9","9","9"
